func_provider,func_mem,file_size,src_provider,dest_provider,same_region,upload_time,download_time
gcp,2048,1KB,gcp,gcp,True,0.102,0.037
gcp,2048,1KB,aws,aws,True,0.199,0.17
gcp,2048,1KB,gcp,gcp,True,0.121,0.032
gcp,2048,1KB,aws,aws,True,0.196,0.16
gcp,2048,1KB,gcp,gcp,True,0.093,0.03
gcp,2048,1KB,aws,aws,True,0.191,0.139
gcp,2048,1KB,gcp,gcp,True,0.1,0.048
gcp,2048,1KB,aws,aws,True,0.195,0.14
gcp,2048,1KB,gcp,gcp,True,0.096,0.066
gcp,2048,1KB,aws,aws,True,0.217,0.151
gcp,2048,1KB,gcp,gcp,True,0.092,0.041
gcp,2048,1KB,aws,aws,True,0.189,0.144
gcp,2048,1KB,gcp,gcp,True,0.086,0.035
gcp,2048,1KB,aws,aws,True,0.179,0.146
gcp,2048,1KB,gcp,gcp,True,0.083,0.037
gcp,2048,1KB,aws,aws,True,0.19,0.14
gcp,2048,1KB,gcp,gcp,True,0.106,0.041
gcp,2048,1KB,aws,aws,True,0.168,0.155
gcp,2048,1KB,gcp,gcp,True,0.094,0.035
gcp,2048,1KB,aws,aws,True,0.194,0.133
gcp,2048,1KB,gcp,gcp,True,0.095,0.031
gcp,2048,1KB,aws,aws,True,0.173,0.142
gcp,2048,1KB,gcp,gcp,True,0.081,0.035
aws,128,0,unknown,unknown,True,0,0
aws,128,1KB,gcp,gcp,True,3.181,0.361
aws,128,0,unknown,unknown,True,0,0
aws,256,1KB,aws,aws,True,2.621,9.02
aws,256,1KB,gcp,gcp,True,0.554,0.087
aws,256,1KB,aws,aws,True,0.3,0.465
aws,512,1KB,aws,aws,True,0.846,4.683
aws,512,1KB,gcp,gcp,True,0.385,0.096
aws,512,1KB,aws,aws,True,0.25,0.178
aws,1024,1KB,aws,aws,True,0.537,2.457
aws,1024,1KB,gcp,gcp,True,0.21,0.079
aws,1024,1KB,aws,aws,True,0.222,0.112
aws,2048,1KB,aws,aws,True,0.276,1.406
aws,2048,1KB,gcp,gcp,True,0.156,0.085
aws,2048,1KB,aws,aws,True,0.15,0.119
gcp,128,0,unknown,unknown,True,0,0
gcp,128,1KB,gcp,gcp,True,0.172,0.07
gcp,128,0,unknown,unknown,True,0,0
gcp,256,1KB,aws,aws,True,0.28,0.662
gcp,256,1KB,gcp,gcp,True,1.097,0.1
gcp,256,1KB,aws,aws,True,0.421,0.537
gcp,512,1KB,aws,aws,True,0.232,0.265
gcp,512,1KB,gcp,gcp,True,0.501,0.089
gcp,512,1KB,aws,aws,True,0.44,0.283
gcp,1024,1KB,aws,aws,True,0.459,1.306
gcp,1024,1KB,gcp,gcp,True,0.267,0.054
gcp,1024,1KB,aws,aws,True,0.228,0.168
gcp,2048,1KB,aws,aws,True,0.3,0.875
gcp,2048,1KB,gcp,gcp,True,0.142,0.113
gcp,2048,1KB,aws,aws,True,0.212,0.186
aws,128,0,unknown,unknown,True,0,0
aws,128,1KB,gcp,gcp,True,3.139,0.36
